"target"	"realization"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"
"é"	"e"	"/E"	"pe"	11.0321257689679	"dpéé"	"ṭpeː"	"dpee 24"
"dp"	"ch"	"/E"	"te"	5.64046479835954	"dpéé"	"ṭpeː"	"dpee 3"
"é"	"e"	"/E"	"te"	5.64046479835954	"dpéé"	"ṭpeː"	"dpee 3"
"dp"	"ch"	"/E"	"te"	4.80109364319891	"dpéé"	"ṭpeː"	"dpee 5"
"é"	"e"	"/E"	"te"	4.80109364319891	"dpéé"	"ṭpeː"	"dpee 5"
"dp"	"p"	"/E"	"pe"	4.80109364319891	"dpéé"	"ṭpeː"	"dpee 28"
"é"	"e"	"/E"	"pe"	4.80109364319891	"dpéé"	"ṭpeː"	"dpee 28"
"dp"	"p"	"/E"	"pe"	7.35475051264525	"dpéé"	"ṭpeː"	"dpee 16"
"é"	"e"	"/E"	"pe"	7.35475051264525	"dpéé"	"ṭpeː"	"dpee 16"
"dp"	"p"	"/E"	"pe"	7.35475051264525	"dpéé"	"ṭpeː"	"dpee 17"
"é"	"e"	"/E"	"pe"	7.35475051264525	"dpéé"	"ṭpeː"	"dpee 17"
"dp"	"p"	"/E"	"pe"	7.35475051264525	"dpéé"	"ṭpeː"	"dpee 8"
"é"	"e"	"/E"	"pe"	7.35475051264525	"dpéé"	"ṭpeː"	"dpee 8"
"dp"	"ch"	"/E"	"te"	5.11278195488722	"dpéé"	"ṭpeː"	"dpee 15"
"é"	"e"	"/E"	"te"	5.11278195488722	"dpéé"	"ṭpeː"	"dpee 15"
"dp"	"p"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 6"
"é"	"e"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 6"
"dp"	"p"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 18"
"é"	"e"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 18"
"dp"	"p"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 23"
"é"	"e"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 23"
